"county","pop"
"Alachua",246000
"Bay",140000
"Brevard",542000
"Broward",1700000
"Charlotte",160000
"Citrus",141000
"Clay",189000
"Collier",318000
"Columbia",121000
"Desoto",160000
"Duval",860000
"Escambia",297000
"Flagler",95000
"Franklin",1155000
"Gulf",16000
"Hendry",39000
"Hernando",172000
"Highlands",99000
"Hillsborough",1200000
"Indian River",137000
"Lake",701000
"Lee",612000
"Leon",273000
"Manatee",321000
"Marion",331000
"Martin",146000
"Miami-Dade",2500000
"Monroe",73000
"Nassau",1332000
"Okaloosa",181000
"Orange",2987000
"Osceola",265000
"Palm Beach",1307000
"Pasco",463000
"Pinellas",915000
"Polk",599000
"Putnam",21000
"Santa Rosa",150000
"Sarasota",377000
"Seminole",420000
"St. Johns",186000
"St. Lucie",274000
"Sumter",91000
"Suwannee",41000
"Volusia",495000
"Washington",137000
