county,species
Alachua,aegypt
Bay,albo
Brevard,albo
Broward,aegypt
Charlotte,aegypt
Citrus,albo
Clay,aegypt
Collier,both
Columbia,aegypt
Desoto,aegypt
Duval,aegypt
Escambia,albo
Flagler,aegypt
Franklin,aegypt
Gulf,aegypt
Hendry,aegypt
Hernando,albo
Highlands,aegypt
Hillsborough,both
Indian River,aegypt
Lake,aegypt
Lee,both
Leon,aegypt
Manatee,both
Marion,aegypt
Martin,aegypt
MiamiDade,both
Monroe,aegypt
Nassau,aegypt
Okaloosa,albo
Orange,aegypt
Osceola,both
Palm Beach,aegypt
Pasco,both
Pinellas,aegypt
Polk,albo
Putnam,aegypt
Santa Rosa,albo
Sarasota,aegypt
Seminole,aegypt
St. Johns,both
St. Lucie,aegypt
Sumter,aegypt
Suwannee,aegypt
Volusia,aegypt
Washington,albo
